,Lepidomys proclea,Telostylinus angusticollis,Discoglossus galganoi,Poecilia reticulata,Phodopus sungorus,Bicyclus anynana,Taeniopygia guttata,Coenagrion puella,Rana temporaria,Crepidula onyx,Encope michelini,Orgyia antiqua,Sturnus vulgaris,Petrolisthes laevigatus,Oligosoma maccanni,Scathophaga stercoraria,Riptortus pedestris,Simochromis pleurospilus,Gadus macrocephalus,Coenagrion ornatum,Coenagrion hastulatum,Coenagrion mercuriale,Salmo trutta,Crangon crangon,Crepidula fornicata,Solea solea,Tribolium castaneum,Leodia sexiesperforata,Mellita tenuis,Gasterosteus aculeatus,Xiphophorus helleri,Melospiza melodia,Cherax quadricarinatus,Tenebrio molitor,Pseudacris crucifer,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Columba livia,Piaractus mesopotamicus,Portunus trituberculatus,Salamandra salamandra,Danaus plexippus,Riparia riparia,Balanus glandula,Scaphiopus couchii,Nicrophorus vespilloides,Rissa brevirostris,Lithobates sylvaticus
Lepidomys proclea,1,0.658720201,0,0,0,0.856963614,0,0.481806775,0,0.055207026,0,0.863237139,0,0.335006274,0,0.658720201,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,0.658720201,0.658720201,0,0,0.335006274,0,0.856963614,0,0.335006274,0,0.611041405,0,0
Telostylinus angusticollis,0.658720201,1,0,0,0,0.658720201,0,0.481806775,0,0.055207026,0,0.658720201,0,0.335006274,0,0.924717691,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,0.658720201,0.924717691,0,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Discoglossus galganoi,0,0,1,0.454203262,0.558343789,0,0.558343789,0,0.731493099,0,0.141781681,0,0.558343789,0,0.558343789,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.558343789,0,0,0.731493099,0,0,0,0.55859473,0.454203262,0,0.627352572,0,0.55859473,0,0.731493099,0,0.55859473,0.731493099
Poecilia reticulata,0,0,0.454203262,1,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,0.850690088,0.814303639,0,0,0,0.74153074,0,0,0.839397742,0,0.141781681,0.141781681,0.839397742,0.947302384,0.454203262,0,0,0.454203262,0,0,0,0.454203262,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Phodopus sungorus,0,0,0.558343789,0.454203262,1,0,0.598494354,0,0.558343789,0,0.141781681,0,0.608531995,0,0.608531995,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.608531995,0,0,0.558343789,0,0,0,0.608531995,0.454203262,0,0.55859473,0,0.608531995,0,0.55859473,0,0.608531995,0.55859473
Bicyclus anynana,0.856963614,0.658720201,0,0,0,1,0,0.481806775,0,0.055207026,0,0.856963614,0,0.335006274,0,0.658720201,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,0.658720201,0.658720201,0,0,0.335006274,0,0.888331242,0,0.335006274,0,0.611041405,0,0
Taeniopygia guttata,0,0,0.558343789,0.454203262,0.598494354,0,1,0,0.558343789,0,0.141781681,0,0.944792974,0,0.64868256,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.952321205,0,0,0.558343789,0,0,0,0.895859473,0.454203262,0,0.55859473,0,0.944792974,0,0.55859473,0,0.895859473,0.55859473
Coenagrion puella,0.481806775,0.481806775,0,0,0,0.481806775,0,1,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0.481806775,0,0,0.997214555,0.985194479,0.9902133,0,0.335006274,0.055207026,0,0.481806775,0,0,0,0,0,0.335006274,0.481806775,0,0.481806775,0.481806775,0.481806775,0,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Rana temporaria,0,0,0.731493099,0.454203262,0.558343789,0,0.558343789,0,1,0,0.141781681,0,0.558343789,0,0.558343789,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.558343789,0,0,0.805520703,0,0,0,0.55859473,0.454203262,0,0.627352572,0,0.55859473,0,0.766624843,0,0.55859473,0.949811794
Crepidula onyx,0.055207026,0.055207026,0,0,0,0.055207026,0,0.055207026,0,1,0,0.055207026,0,0.055207026,0,0.055207026,0.055207026,0,0,0.055207026,0.055207026,0.055207026,0,0.055207026,0.998745295,0,0.055207026,0,0,0,0,0,0.055207026,0.055207026,0,0.055207026,0.055207026,0.055207026,0,0,0.055207026,0,0.055207026,0,0.055207026,0,0.055207026,0,0
Encope michelini,0,0,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0.141781681,0,1,0,0.141781681,0,0.141781681,0,0,0.141781681,0.141781681,0,0,0,0.141781681,0,0,0.141781681,0,0.969861982,0.971066499,0.141781681,0.141781681,0.141781681,0,0,0.141781681,0,0,0,0.141781681,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681
Orgyia antiqua,0.863237139,0.658720201,0,0,0,0.856963614,0,0.481806775,0,0.055207026,0,1,0,0.335006274,0,0.658720201,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,0.658720201,0.658720201,0,0,0.335006274,0,0.856963614,0,0.335006274,0,0.611041405,0,0
Sturnus vulgaris,0,0,0.558343789,0.454203262,0.608531995,0,0.944792974,0,0.558343789,0,0.141781681,0,1,0,0.64868256,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.944792974,0,0,0.558343789,0,0,0,0.895859473,0.454203262,0,0.55859473,0,0.944792974,0,0.55859473,0,0.895859473,0.55859473
Petrolisthes laevigatus,0.335006274,0.335006274,0,0,0,0.335006274,0,0.335006274,0,0.055207026,0,0.335006274,0,1,0,0.335006274,0.335006274,0,0,0.335006274,0.335006274,0.335006274,0,0.553324969,0.055207026,0,0.335006274,0,0,0,0,0,0.574654956,0.335006274,0,0.335006274,0.335006274,0.335006274,0,0,0.613550816,0,0.335006274,0,0.335006274,0,0.335006274,0,0
Oligosoma maccanni,0,0,0.558343789,0.454203262,0.608531995,0,0.64868256,0,0.558343789,0,0.141781681,0,0.64868256,0,1,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.64868256,0,0,0.558343789,0,0,0,0.64868256,0.454203262,0,0.55859473,0,0.64868256,0,0.55859473,0,0.64868256,0.55859473
Scathophaga stercoraria,0.658720201,0.924717691,0,0,0,0.658720201,0,0.481806775,0,0.055207026,0,0.658720201,0,0.335006274,0,1,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,0.658720201,0.930991217,0,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Riptortus pedestris,0.550815558,0.550815558,0,0,0,0.550815558,0,0.481806775,0,0.055207026,0,0.550815558,0,0.335006274,0,0.550815558,1,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.550815558,0,0,0,0,0,0.335006274,0.550815558,0,0.550815558,0.550815558,0.550815558,0,0,0.335006274,0,0.550815558,0,0.335006274,0,0.550815558,0,0
Simochromis pleurospilus,0,0,0.454203262,0.850690088,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,1,0.814303639,0,0,0,0.74153074,0,0,0.839397742,0,0.141781681,0.141781681,0.839397742,0.850690088,0.454203262,0,0,0.454203262,0,0,0,0.454203262,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Gadus macrocephalus,0,0,0.454203262,0.814303639,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,0.814303639,1,0,0,0,0.74153074,0,0,0.814303639,0,0.141781681,0.141781681,0.814303639,0.814303639,0.454203262,0,0,0.454203262,0,0,0,0.454203262,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Coenagrion ornatum,0.481806775,0.481806775,0,0,0,0.481806775,0,0.997214555,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0.481806775,0,0,1,0.985194479,0.9902133,0,0.335006274,0.055207026,0,0.481806775,0,0,0,0,0,0.335006274,0.481806775,0,0.481806775,0.481806775,0.481806775,0,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Coenagrion hastulatum,0.481806775,0.481806775,0,0,0,0.481806775,0,0.985194479,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0.481806775,0,0,0.985194479,1,0.985194479,0,0.335006274,0.055207026,0,0.481806775,0,0,0,0,0,0.335006274,0.481806775,0,0.481806775,0.481806775,0.481806775,0,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Coenagrion mercuriale,0.481806775,0.481806775,0,0,0,0.481806775,0,0.9902133,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0.481806775,0,0,0.9902133,0.985194479,1,0,0.335006274,0.055207026,0,0.481806775,0,0,0,0,0,0.335006274,0.481806775,0,0.481806775,0.481806775,0.481806775,0,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Salmo trutta,0,0,0.454203262,0.74153074,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,0.74153074,0.74153074,0,0,0,1,0,0,0.74153074,0,0.141781681,0.141781681,0.74153074,0.74153074,0.454203262,0,0,0.454203262,0,0,0,0.454203262,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Crangon crangon,0.335006274,0.335006274,0,0,0,0.335006274,0,0.335006274,0,0.055207026,0,0.335006274,0,0.553324969,0,0.335006274,0.335006274,0,0,0.335006274,0.335006274,0.335006274,0,1,0.055207026,0,0.335006274,0,0,0,0,0,0.553324969,0.335006274,0,0.335006274,0.335006274,0.335006274,0,0,0.553324969,0,0.335006274,0,0.335006274,0,0.335006274,0,0
Crepidula fornicata,0.055207026,0.055207026,0,0,0,0.055207026,0,0.055207026,0,0.998745295,0,0.055207026,0,0.055207026,0,0.055207026,0.055207026,0,0,0.055207026,0.055207026,0.055207026,0,0.055207026,1,0,0.055207026,0,0,0,0,0,0.055207026,0.055207026,0,0.055207026,0.055207026,0.055207026,0,0,0.055207026,0,0.055207026,0,0.055207026,0,0.055207026,0,0
Solea solea,0,0,0.454203262,0.839397742,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,0.839397742,0.814303639,0,0,0,0.74153074,0,0,1,0,0.141781681,0.141781681,0.861982434,0.839397742,0.454203262,0,0,0.454203262,0,0,0,0.454203262,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Tribolium castaneum,0.611041405,0.611041405,0,0,0,0.611041405,0,0.481806775,0,0.055207026,0,0.611041405,0,0.335006274,0,0.611041405,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,1,0,0,0,0,0,0.335006274,0.774153074,0,0.700125471,0.611041405,0.611041405,0,0,0.335006274,0,0.611041405,0,0.335006274,0,0.663739021,0,0
Leodia sexiesperforata,0,0,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0.141781681,0,0.969861982,0,0.141781681,0,0.141781681,0,0,0.141781681,0.141781681,0,0,0,0.141781681,0,0,0.141781681,0,1,0.969861982,0.141781681,0.141781681,0.141781681,0,0,0.141781681,0,0,0,0.141781681,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681
Mellita tenuis,0,0,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0.141781681,0,0.971066499,0,0.141781681,0,0.141781681,0,0,0.141781681,0.141781681,0,0,0,0.141781681,0,0,0.141781681,0,0.969861982,1,0.141781681,0.141781681,0.141781681,0,0,0.141781681,0,0,0,0.141781681,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681
Gasterosteus aculeatus,0,0,0.454203262,0.839397742,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,0.839397742,0.814303639,0,0,0,0.74153074,0,0,0.861982434,0,0.141781681,0.141781681,1,0.839397742,0.454203262,0,0,0.454203262,0,0,0,0.454203262,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Xiphophorus helleri,0,0,0.454203262,0.947302384,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,0.850690088,0.814303639,0,0,0,0.74153074,0,0,0.839397742,0,0.141781681,0.141781681,0.839397742,1,0.454203262,0,0,0.454203262,0,0,0,0.454203262,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Melospiza melodia,0,0,0.558343789,0.454203262,0.608531995,0,0.952321205,0,0.558343789,0,0.141781681,0,0.944792974,0,0.64868256,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,1,0,0,0.558343789,0,0,0,0.895859473,0.454203262,0,0.55859473,0,0.944792974,0,0.55859473,0,0.895859473,0.55859473
Cherax quadricarinatus,0.335006274,0.335006274,0,0,0,0.335006274,0,0.335006274,0,0.055207026,0,0.335006274,0,0.574654956,0,0.335006274,0.335006274,0,0,0.335006274,0.335006274,0.335006274,0,0.553324969,0.055207026,0,0.335006274,0,0,0,0,0,1,0.335006274,0,0.335006274,0.335006274,0.335006274,0,0,0.574654956,0,0.335006274,0,0.335006274,0,0.335006274,0,0
Tenebrio molitor,0.611041405,0.611041405,0,0,0,0.611041405,0,0.481806775,0,0.055207026,0,0.611041405,0,0.335006274,0,0.611041405,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.774153074,0,0,0,0,0,0.335006274,1,0,0.700125471,0.611041405,0.611041405,0,0,0.335006274,0,0.611041405,0,0.335006274,0,0.663739021,0,0
Pseudacris crucifer,0,0,0.731493099,0.454203262,0.558343789,0,0.558343789,0,0.805520703,0,0.141781681,0,0.558343789,0,0.558343789,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.558343789,0,0,1,0,0,0,0.55859473,0.454203262,0,0.627352572,0,0.55859473,0,0.766624843,0,0.55859473,0.805520703
Cryptolaemus montrouzieri,0.611041405,0.611041405,0,0,0,0.611041405,0,0.481806775,0,0.055207026,0,0.611041405,0,0.335006274,0,0.611041405,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.700125471,0,0,0,0,0,0.335006274,0.700125471,0,1,0.611041405,0.611041405,0,0,0.335006274,0,0.611041405,0,0.335006274,0,0.663739021,0,0
Aedes aegypti,0.658720201,0.658720201,0,0,0,0.658720201,0,0.481806775,0,0.055207026,0,0.658720201,0,0.335006274,0,0.658720201,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,1,0.658720201,0,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Drosophila melanogaster,0.658720201,0.924717691,0,0,0,0.658720201,0,0.481806775,0,0.055207026,0,0.658720201,0,0.335006274,0,0.930991217,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,0.658720201,1,0,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Columba livia,0,0,0.55859473,0.454203262,0.608531995,0,0.895859473,0,0.55859473,0,0.141781681,0,0.895859473,0,0.64868256,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.895859473,0,0,0.55859473,0,0,0,1,0.454203262,0,0.55859473,0,0.895859473,0,0.55859473,0,0.897114178,0.55859473
Piaractus mesopotamicus,0,0,0.454203262,0.711417817,0.454203262,0,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0,0.711417817,0.711417817,0,0,0,0.711417817,0,0,0.711417817,0,0.141781681,0.141781681,0.711417817,0.711417817,0.454203262,0,0,0.454203262,0,0,0,0.454203262,1,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Portunus trituberculatus,0.335006274,0.335006274,0,0,0,0.335006274,0,0.335006274,0,0.055207026,0,0.335006274,0,0.613550816,0,0.335006274,0.335006274,0,0,0.335006274,0.335006274,0.335006274,0,0.553324969,0.055207026,0,0.335006274,0,0,0,0,0,0.574654956,0.335006274,0,0.335006274,0.335006274,0.335006274,0,0,1,0,0.335006274,0,0.335006274,0,0.335006274,0,0
Salamandra salamandra,0,0,0.627352572,0.454203262,0.55859473,0,0.55859473,0,0.627352572,0,0.141781681,0,0.55859473,0,0.55859473,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.55859473,0,0,0.627352572,0,0,0,0.55859473,0.454203262,0,1,0,0.55859473,0,0.627352572,0,0.55859473,0.627352572
Danaus plexippus,0.856963614,0.658720201,0,0,0,0.888331242,0,0.481806775,0,0.055207026,0,0.856963614,0,0.335006274,0,0.658720201,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.611041405,0,0,0,0,0,0.335006274,0.611041405,0,0.611041405,0.658720201,0.658720201,0,0,0.335006274,0,1,0,0.335006274,0,0.611041405,0,0
Riparia riparia,0,0,0.55859473,0.454203262,0.608531995,0,0.944792974,0,0.55859473,0,0.141781681,0,0.944792974,0,0.64868256,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.944792974,0,0,0.55859473,0,0,0,0.895859473,0.454203262,0,0.55859473,0,1,0,0.55859473,0,0.895859473,0.55859473
Balanus glandula,0.335006274,0.335006274,0,0,0,0.335006274,0,0.335006274,0,0.055207026,0,0.335006274,0,0.335006274,0,0.335006274,0.335006274,0,0,0.335006274,0.335006274,0.335006274,0,0.335006274,0.055207026,0,0.335006274,0,0,0,0,0,0.335006274,0.335006274,0,0.335006274,0.335006274,0.335006274,0,0,0.335006274,0,0.335006274,0,1,0,0.335006274,0,0
Scaphiopus couchii,0,0,0.731493099,0.454203262,0.55859473,0,0.55859473,0,0.766624843,0,0.141781681,0,0.55859473,0,0.55859473,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.55859473,0,0,0.766624843,0,0,0,0.55859473,0.454203262,0,0.627352572,0,0.55859473,0,1,0,0.55859473,0.766624843
Nicrophorus vespilloides,0.611041405,0.611041405,0,0,0,0.611041405,0,0.481806775,0,0.055207026,0,0.611041405,0,0.335006274,0,0.611041405,0.550815558,0,0,0.481806775,0.481806775,0.481806775,0,0.335006274,0.055207026,0,0.663739021,0,0,0,0,0,0.335006274,0.663739021,0,0.663739021,0.611041405,0.611041405,0,0,0.335006274,0,0.611041405,0,0.335006274,0,1,0,0
Rissa brevirostris,0,0,0.55859473,0.454203262,0.608531995,0,0.895859473,0,0.55859473,0,0.141781681,0,0.895859473,0,0.64868256,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.895859473,0,0,0.55859473,0,0,0,0.897114178,0.454203262,0,0.55859473,0,0.895859473,0,0.55859473,0,1,0.55859473
Lithobates sylvaticus,0,0,0.731493099,0.454203262,0.55859473,0,0.55859473,0,0.949811794,0,0.141781681,0,0.55859473,0,0.55859473,0,0,0.454203262,0.454203262,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.55859473,0,0,0.805520703,0,0,0,0.55859473,0.454203262,0,0.627352572,0,0.55859473,0,0.766624843,0,0.55859473,1
