,Cheilomenes sexmaculata,Telostylinus angusticollis,Poecilia reticulata,Bicyclus anynana,Speyeria mormonia,Taeniopygia guttata,Coenonympha pamphilus,Panorpa cognata,Sturnus vulgaris,Choristoneura fumiferana,Scathophaga stercoraria,Riptortus pedestris,Simochromis pleurospilus,Anopheles stephensi,Dichochrysa prasina,Tribolium castaneum,Pieris rapae,Tenebrio molitor,Hippodamia convergens,Coleomegilla maculata,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Brachionus calyciflorus,Ceratitis capitata,Chrysoperla carnea,Gnatocerus cornutus,Nicrophorus vespilloides
Cheilomenes sexmaculata,1,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,0.998745295,0.998745295,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.700125471,0.663739021
Telostylinus angusticollis,0.611041405,1,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.924717691,0.550815558,0,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.055207026,0.924717691,0.611041405,0.611041405,0.611041405
Poecilia reticulata,0,0,1,0,0,0.454203262,0,0,0.454203262,0,0,0,0.850690088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicyclus anynana,0.611041405,0.658720201,0,1,0.894604768,0,0.944792974,0.658720201,0,0.804265997,0.658720201,0.550815558,0,0.658720201,0.611041405,0.611041405,0.875784191,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Speyeria mormonia,0.611041405,0.658720201,0,0.894604768,1,0,0.894604768,0.658720201,0,0.804265997,0.658720201,0.550815558,0,0.658720201,0.611041405,0.611041405,0.875784191,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Taeniopygia guttata,0,0,0.454203262,0,0,1,0,0,0.944792974,0,0,0,0.454203262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coenonympha pamphilus,0.611041405,0.658720201,0,0.944792974,0.894604768,0,1,0.658720201,0,0.804265997,0.658720201,0.550815558,0,0.658720201,0.611041405,0.611041405,0.875784191,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Panorpa cognata,0.611041405,0.658720201,0,0.658720201,0.658720201,0,0.658720201,1,0,0.658720201,0.658720201,0.550815558,0,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Sturnus vulgaris,0,0,0.454203262,0,0,0.944792974,0,0,1,0,0,0,0.454203262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choristoneura fumiferana,0.611041405,0.658720201,0,0.804265997,0.804265997,0,0.804265997,0.658720201,0,1,0.658720201,0.550815558,0,0.658720201,0.611041405,0.611041405,0.804265997,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Scathophaga stercoraria,0.611041405,0.924717691,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,1,0.550815558,0,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.930991217,0.055207026,0.924717691,0.611041405,0.611041405,0.611041405
Riptortus pedestris,0.550815558,0.550815558,0,0.550815558,0.550815558,0,0.550815558,0.550815558,0,0.550815558,0.550815558,1,0,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.055207026,0.550815558,0.550815558,0.550815558,0.550815558
Simochromis pleurospilus,0,0,0.850690088,0,0,0.454203262,0,0,0.454203262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anopheles stephensi,0.611041405,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0.550815558,0,1,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.761606023,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Dichochrysa prasina,0.617314931,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,1,0.617314931,0.611041405,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.055207026,0.611041405,0.948557089,0.617314931,0.617314931
Tribolium castaneum,0.700125471,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,1,0.611041405,0.774153074,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.774153074,0.663739021
Pieris rapae,0.611041405,0.658720201,0,0.875784191,0.875784191,0,0.875784191,0.658720201,0,0.804265997,0.658720201,0.550815558,0,0.658720201,0.611041405,0.611041405,1,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Tenebrio molitor,0.700125471,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.774153074,0.611041405,1,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.808030113,0.663739021
Hippodamia convergens,0.998745295,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,1,0.998745295,0.998745295,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.700125471,0.663739021
Coleomegilla maculata,0.998745295,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,1,0.998745295,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.700125471,0.663739021
Cryptolaemus montrouzieri,0.998745295,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,0.998745295,1,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.700125471,0.663739021
Aedes aegypti,0.611041405,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0.550815558,0,0.761606023,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,1,0.658720201,0.055207026,0.658720201,0.611041405,0.611041405,0.611041405
Drosophila melanogaster,0.611041405,0.924717691,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.930991217,0.550815558,0,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,1,0.055207026,0.924717691,0.611041405,0.611041405,0.611041405
Brachionus calyciflorus,0.055207026,0.055207026,0,0.055207026,0.055207026,0,0.055207026,0.055207026,0,0.055207026,0.055207026,0.055207026,0,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,1,0.055207026,0.055207026,0.055207026,0.055207026
Ceratitis capitata,0.611041405,0.924717691,0,0.658720201,0.658720201,0,0.658720201,0.658720201,0,0.658720201,0.924717691,0.550815558,0,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.055207026,1,0.611041405,0.611041405,0.611041405
Chrysoperla carnea,0.617314931,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.948557089,0.617314931,0.611041405,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.055207026,0.611041405,1,0.617314931,0.617314931
Gnatocerus cornutus,0.700125471,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.774153074,0.611041405,0.808030113,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,1,0.663739021
Nicrophorus vespilloides,0.663739021,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0,0.611041405,0.611041405,0.550815558,0,0.611041405,0.617314931,0.663739021,0.611041405,0.663739021,0.663739021,0.663739021,0.663739021,0.611041405,0.611041405,0.055207026,0.611041405,0.617314931,0.663739021,1
