"","theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","facet_label"
"110",0.3,"indep",12,28,NA,-1.26646061866664,-1.60804989317848,NA,NA,4.66396450126322,0.370089229740928,261.417084506191,-71.3212717669956,NA,NA,NA,NA,4903117539,4812700000,NA,NA,0.0309221182658462,0.000342297587715516,NA,NA,"indep n1=12 n2=28"
"111",0.4,"indep",12,28,-1.94424625400898,-1.16451756225833,-1.44893854097162,0.779728691750648,0.495307713037356,3.91866715807811,0.35693394295687,227.507444239037,-70.1688051818877,1.02117431149028,1.20075877934125,0.721226746076569,0.61123376289983,5956503517,5843100000,0.00272795299931351,0.0045251912751681,0.0261056703514075,0.000340391972255722,0.00185498244768888,0.00201663025618695,"indep n1=12 n2=28"
"112",0.5,"indep",12,28,-1.36303435330244,-1.05085416975457,-1.27564330562403,0.312180183547873,0.0873910476784174,3.16725287944834,0.341102668074344,198.926014460869,-67.8066561242838,0.710285245758843,1.03303715359364,0.83223294148648,0.750720988449545,6968961923,6830900000,0.00244111017873155,0.00393840659621456,0.0219329507891695,0.00034378965470517,0.00142967338465266,0.00165517215710313,"indep n1=12 n2=28"
"113",0.6,"indep",12,28,-1.058151567492,-0.937270647242809,-1.10892802776018,0.120880920249189,-0.0507764602681782,2.50813595726728,0.323004208794445,169.676209990137,-65.2704030711896,0.627450313708805,0.965722949502448,0.877151718790385,0.797286120444559,7901925928,7.738e+09,0.0022133742490319,0.00346688835734741,0.0183920659283954,0.000348232165520517,0.00118006937281269,0.00144522172644961,"indep n1=12 n2=28"
"114",0.7,"indep",12,28,-0.842414379200356,-0.820715562734294,-0.944050650100745,0.0216988164660619,-0.10163627090039,1.9265885349144,0.30252953323056,140.364655094926,-62.2558706266653,0.590540241816742,0.901026016534791,0.900834520180322,0.824656599065432,8686120531,8495900000,0.00202466877024186,0.00307152805593403,0.0153395255777117,0.000352546346520635,0.00102541123818297,0.00130459763306826,"indep n1=12 n2=28"
"115",0.8,"indep",12,28,-0.672621910644767,-0.699643897902643,-0.779578879522009,-0.0270219872578767,-0.106956968877243,1.42953290916726,0.279056172097454,118.086812482533,-57.4277229394022,0.556712993379044,0.81665205333739,0.914719535996648,0.848482175346514,9283778122,9068900000,0.00184647846540419,0.00268846922715108,0.0126232374808758,0.000355813196400912,0.000927452012757671,0.00119062752486344,"indep n1=12 n2=28"
"116",0.9,"indep",12,28,-0.531415775693636,-0.582779892858814,-0.627299502355387,-0.0513641171651783,-0.095883726661751,1.01168664624525,0.254698077050666,93.4886804466452,-51.2880840883563,0.52102272166956,0.729420474037608,0.92381244188995,0.872231848533514,9703240121,9464800000,0.00168532062181526,0.00235038770531173,0.0100876649567017,0.000354861983299646,0.000862339361508589,0.00108510447687517,"indep n1=12 n2=28"
"117",1,"indep",12,28,-0.409949443099545,-0.466191235307398,-0.48355318984419,-0.0562417922078539,-0.0736037467446453,0.705291303716011,0.228119002261597,74.276140175041,-43.6322282647337,0.48312778704341,0.640399024788165,0.929527538770673,0.890421969189551,9964871619,9704500000,0.00154033375613217,0.00204210804358711,0.00799887715769776,0.000349118010845864,0.00082158834165221,0.00100270480702136,"indep n1=12 n2=28"
"118",1.2,"indep",12,28,-0.207397101698341,-0.252523865557641,-0.238148355548198,-0.0451267638593,-0.0307512538498563,0.314531895346845,0.176372581562259,45.987806362068,-18.1378846927569,0.398173513638295,0.465181975297285,0.937928396726822,0.923072277636307,10240496147,9935300000,0.00125509558929448,0.00147259581499335,0.00439612454322048,0.000316165752225619,0.000765492308341744,0.000845412760166336,"indep n1=12 n2=28"
"119",1.4,"indep",12,28,-0.0414320722515917,-0.0694081612543319,-0.0468082920809272,-0.0279760890027402,-0.00537621982933542,0.14755448757634,0.131624898343718,28.1106875626748,14.2801991600335,0.326406948092317,0.339418760318021,0.94118294856136,0.941233005626414,10331415767,9988600000,0.00102898297796163,0.00107381933411461,0.00204273512251508,0.00025987996699106,0.000744451379166443,0.000744154312148184,"indep n1=12 n2=28"
"120",1.6,"indep",12,28,0.0996205513262785,0.0831369290052865,0.102082414446202,-0.016483622320992,0.0024618631199238,0.0884382780557452,0.0980019788790308,19.2998224641094,32.2008856168616,0.279277225146017,0.27228004980408,0.943461519227884,0.949942491373706,10368839086,9998500000,0.00088168302989159,0.000861058810463563,0.000887616032516404,0.000197974636993267,0.000730410045430742,0.000689629525830108,"indep n1=12 n2=28"
"121",1.8,"indep",12,28,0.22249551249365,0.214444677838849,0.227069496772443,-0.00805083465480125,0.00457398427879277,0.0636024547043656,0.074454024264134,17.1346136069161,37.1196033894693,0.244996997373712,0.233064321226713,0.945809458094581,0.95429954299543,10386645635,9999900000,0.000774337858959094,0.000736879518507168,0.000350330953214288,0.000141198445490193,0.000715922060128142,0.000660396557817779,"indep n1=12 n2=28"
"122",2,"indep",12,28,0.331466700981724,0.326929096044899,0.333994426712128,-0.00453760493682531,0.00252772573040327,0.0507841802399044,0.0591805985688922,12.477735500918,31.0742770912629,0.222858507481227,0.212500275317976,0.94643,0.95718,10394564401,1e+10,0.000704597906301223,0.000671940690218552,7.63431780879371e-05,9.75802414787678e-05,0.000712041116088109,0.00064020658853217,"indep n1=12 n2=28"
"123",2.5,"indep",12,28,0.560101460630239,0.563659155525226,0.562029927068592,0.00355769489498714,0.00192846643835332,0.0351705479106995,0.0393740157909717,5.95324657926926,18.6164291358037,0.187141003533409,0.182202607759439,0.94603,0.96173,10398758358,1e+10,0.000591687823983275,0.000576145842956183,3.31561106461037e-05,4.039717025825e-05,0.00071454348433108,0.000606674600589146,"indep n1=12 n2=28"
"124",3,"indep",12,28,0.745380810400251,0.752025398485581,0.746406305577615,0.00664458808532953,0.00102549517736383,0.02785326319339,0.0310261395897095,3.39341627690588,15.1713730556895,0.166926020638267,0.164133754590306,0.94628,0.96228,10398920602,1e+10,0.000527450699303204,0.000519028969775516,1.92537754274044e-05,2.14995983774301e-05,0.00071298079637533,0.000602471589371648,"indep n1=12 n2=28"
"125",4,"indep",12,28,1.03598662353616,1.04488913900466,1.03578618038149,0.00890251546850296,-0.00020044315466583,0.0211331479009718,0.0238439364297356,-0.0173960928920636,12.807560085778,0.146827545246516,0.145384502928862,0.94566,0.96225,10398920078,1e+10,0.000463457528305792,0.000459748027539682,9.23317661608874e-06,1.02214497456703e-05,0.000716848410753627,0.000602701729713794,"indep n1=12 n2=28"
"126",5,"indep",12,28,1.2604776827778,1.27166738767373,1.26108612747156,0.0111897048959348,0.000608444693764421,0.0181852984574553,0.0207920291404844,-1.39746470628167,12.7364938193877,0.136937470947294,0.135805813990969,0.94568,0.9629,10398936111,1e+10,0.000431588319145222,0.000429453528791387,5.48246978378559e-06,6.60263729681625e-06,0.00071672405847718,0.000597692144837123,"indep n1=12 n2=28"
"127",0.2,"indep",60,140,-2.40823963982765,-1.93195375186618,-2.17789639685736,0.476285887961466,0.230343242970291,3.57707247071712,0.340023994862814,226.07821670425,-69.0041454879181,0.79442094727738,1.07239865714224,0.801108569976494,0.703798996251826,6424488858,6296400000,0.00253387824447622,0.00417404205807257,0.0241092065941354,0.000316771153979719,0.00159077064748063,0.00181958115120686,"indep n1=60 n2=140"
"128",0.3,"indep",60,140,-1.70418293557038,-1.67488353555452,-1.80018608103473,0.0292994000158646,-0.0960031454643417,2.08567613548823,0.298961477859858,155.010340492851,-63.4467370239906,0.587423415786962,0.909442557756505,0.904001836591673,0.822406418404582,8469142125,8276200000,0.00203937691134016,0.00314361282449958,0.0161755052624857,0.000331773992660933,0.00102400158775093,0.00132843830531034,"indep n1=60 n2=140"
"129",0.4,"indep",60,140,-1.3434239967258,-1.40579470689597,-1.43878080616065,-0.0623707101701658,-0.0953568094348429,1.02389731433101,0.244999951186112,98.7842982264861,-52.4345433078167,0.513087715567647,0.723993807163862,0.931899147546546,0.873584545570211,9697042026,9431600000,0.0016583208616397,0.00233692339629361,0.0102237932846771,0.000338764617616053,0.000820291184795269,0.00108208124409042,"indep n1=60 n2=140"
"130",0.5,"indep",60,140,-1.08976250011841,-1.15486977158359,-1.13643558714675,-0.0651072714651793,-0.0466730870283383,0.421280516449206,0.185596546431809,58.6524048357408,-30.1051502006386,0.41914934345387,0.517409399064592,0.942019445007089,0.913641887786105,10207629765,9.874e+09,0.00131771307595241,0.00163989407180553,0.00563542454521675,0.000318650340981249,0.000743745851613868,0.000893908382532366,"indep n1=60 n2=140"
"131",0.6,"indep",60,140,-0.891612283389109,-0.937767459532498,-0.903465845714493,-0.0461551761433897,-0.0118535623253847,0.169189887591759,0.13079884834073,34.0491138926304,3.63190121952326,0.330911787883592,0.355463207858133,0.946201009858139,0.935741764847319,10353286094,9981600000,0.00103716593664569,0.00112448883098156,0.00262606134260736,0.000264887507587043,0.00071413231291043,0.000776144032294103,"indep n1=60 n2=140"
"132",0.7,"indep",60,140,-0.728154080870475,-0.757988096662335,-0.726604405759303,-0.0298340157918602,0.00154967511117154,0.0825579948373373,0.0885710525278044,23.8485458091482,32.8689738403541,0.264781524563833,0.258190205555151,0.950280553305128,0.947179964193197,10352357012,9998100000,0.000832063902947667,0.000816536070083473,0.00101512495885701,0.000192383459572621,0.000687432920593812,0.000707386649193558,"indep n1=60 n2=140"
"133",0.8,"indep",60,140,-0.588673164605307,-0.607977288316693,-0.584238986300869,-0.0193041237113858,0.00443417830443771,0.0518701573973535,0.0607360259564986,18.8333041081307,39.1447993403653,0.22183197149401,0.208970661779223,0.951029020580412,0.950039000780016,10272587576,9999800000,0.000698843612919517,0.000660684380462888,0.000155968962052871,0.000126540910540758,0.000682449661655393,0.000688954621828369,"indep n1=60 n2=140"
"134",0.9,"indep",60,140,-0.466851680175666,-0.481060291377015,-0.463995901866978,-0.014208611201349,0.00285577830868783,0.0386267570791634,0.043693924631783,14.3895683338281,29.3955163566305,0.193578719659045,0.183781241496277,0.954689546895469,0.954439544395444,10166170190,9999900000,0.000610504557756897,0.000581102956604566,6.67341969862714e-05,7.94380904029748e-05,0.000657706990402857,0.000659432599596158,"indep n1=60 n2=140"
"135",1,"indep",60,140,-0.358622366069503,-0.368498569321877,-0.356152849271066,-0.00987620325237437,0.00246951679843688,0.0303392901363483,0.0331036237558606,11.4717269946968,21.6283602307316,0.171620316506193,0.164993495129958,0.95358,0.95617,10077426963,1e+10,0.000541814425886539,0.000521699406672582,3.75301974044216e-05,4.84532007871921e-05,0.000665320851920335,0.000647371076740381,"indep n1=60 n2=140"
"136",1.2,"indep",60,140,-0.17258833862568,-0.179002753447516,-0.172019678227115,-0.00641441482183641,0.000568660398564513,0.0209004857654258,0.0219293302718941,6.85835476770373,12.1185497941209,0.143161545535232,0.139854152886333,0.95215,0.95758,10008637790,1e+10,0.00045226416998707,0.000442256218672703,1.94666349085849e-05,2.22509311034769e-05,0.000674984277594671,0.000637342479362548,"indep n1=60 n2=140"
"137",1.4,"indep",60,140,-0.0162124050415837,-0.0198086527910491,-0.0156762759855197,-0.00359624774946539,0.000536129056064049,0.0156348079914381,0.0161537752191695,4.58697059364448,8.05853290611616,0.124143107201004,0.122267065221649,0.95116,0.95515,10001539657,1e+10,0.000392412181958775,0.000386640625057986,1.17238814130595e-05,1.26359829474785e-05,0.000681576513679866,0.000654511096162624,"indep n1=60 n2=140"
"138",1.6,"indep",60,140,0.118757981051209,0.116536194295113,0.118960228542044,-0.00222178675609629,0.000202247490835014,0.0123878632398531,0.0127096904167241,1.9103113461407,4.5578629988799,0.111464281174255,0.110252309634609,0.94951,0.95343,10001274745,1e+10,0.000352412738646635,0.000348649572382392,7.86895476407251e-06,8.28549754009917e-06,0.000692392662439457,0.000666342517778957,"indep n1=60 n2=140"
"139",1.8,"indep",60,140,0.237525198337027,0.23601597354404,0.237323136410834,-0.00150922479298723,-0.000202061926192737,0.0102294104489099,0.0104576142953408,2.62134473126938,4.91068346790002,0.100671980722206,0.0998401373266787,0.94983,0.95363,10001429713,1e+10,0.00031831857108515,0.000315723167878234,5.5492219633273e-06,5.76842188734127e-06,0.000690311314553079,0.000664979872627736,"indep n1=60 n2=140"
"140",2,"indep",60,140,0.343588506786721,0.342889322834807,0.343419287189337,-0.000699183951913596,-0.000169219597383696,0.00871641816523532,0.00889525323290565,1.22232779394005,3.29910996496718,0.0934015231346121,0.092796034764181,0.94861,0.95226,10001614677,1e+10,0.000295354751106122,0.000293447807016823,4.16190407739598e-06,4.29436342780888e-06,0.0006982053272498,0.000674246931027498,"indep n1=60 n2=140"
"141",2.5,"indep",60,140,0.567808742330832,0.568492941054114,0.567864499082268,0.000684198723282181,5.57567514358759e-05,0.00643612449151114,0.00656243101250505,0.870655037614054,2.85020368136426,0.0802008645198478,0.0798781010382682,0.9493,0.95248,10001314736,1e+10,0.00025360944106217,0.000252597935905693,2.29477373428932e-06,2.34760411457835e-06,0.000693754351337705,0.000672769273971397,"indep n1=60 n2=140"
"142",3,"indep",60,140,0.750714194302349,0.751955135260984,0.750714225599969,0.00124094095863525,3.12976202732074e-08,0.00522291591695271,0.00533166015504411,0.170899563969162,2.25651769859341,0.0724158118413982,0.0722077077931523,0.94816,0.95171,10001364725,1e+10,0.000228966423211109,0.000228341962958901,1.46293472901973e-06,1.49527868539522e-06,0.00070108925537338,0.000677923859293948,"indep n1=60 n2=140"
"143",4,"indep",60,140,1.03897616906418,1.04077173906907,1.03893379937788,0.0017955700048875,-4.23696863058876e-05,0.00403297888932151,0.00413094435680534,0.403180116805002,2.84208315769385,0.0634984921068342,0.0633778008626745,0.94887,0.95263,10001424715,1e+10,0.000200720569871311,0.000200419161130833,7.38632422176885e-07,7.6279080473011e-07,0.000696532289990924,0.000671759503840474,"indep n1=60 n2=140"
"144",5,"indep",60,140,1.26238790477649,1.26407539415979,1.26196375470143,0.00168748938330165,-0.000424150075058138,0.00348824371694456,0.00358367691827332,0.0894412850746873,2.827740720588,0.0591152591242392,0.0590361891298025,0.94923,0.95306,10001449710,1e+10,0.000186863617617735,0.000186684937125346,4.48199658933719e-07,4.77020732316443e-07,0.000694207512923909,0.000668854516318758,"indep n1=60 n2=140"
"145",0.2,"paired",5,5,NA,-1.1062209587758,-1.57730846134625,NA,NA,6.3367356499697,0.450136006548467,321.427986296927,-70.0634646483371,NA,NA,NA,NA,1290123095,1271200000,NA,NA,0.066362773175537,0.000613988822239773,NA,NA,"paired n1=5 n2=5"
"146",0.3,"paired",5,5,NA,-1.05274610025348,-1.48049525527944,NA,NA,5.74536904374651,0.4431650451117,284.67390804683,-70.3284456551284,NA,NA,NA,NA,1939389215,1910400000,NA,NA,0.0525322476034373,0.000547750239541397,NA,NA,"paired n1=5 n2=5"
"147",0.4,"paired",5,5,NA,-0.981524813518626,-1.3572647144562,NA,NA,5.05415045777622,0.434310586791308,250.903273016894,-69.8463653418793,NA,NA,NA,NA,2846596679,2802600000,NA,NA,0.0414557561460781,0.000494211183669894,NA,NA,"paired n1=5 n2=5"
"148",0.5,"paired",5,5,NA,-0.913522404837379,-1.24094773752786,NA,NA,4.40270555452518,0.425260142646031,218.854617292142,-69.2016287817308,NA,NA,NA,NA,3941422874,3.879e+09,NA,NA,0.0332843635791748,0.000452845271680771,NA,NA,"paired n1=5 n2=5"
"149",0.6,"paired",5,5,NA,-0.841091135385322,-1.12047009491118,NA,NA,3.82209710512416,0.414740694721362,196.537456287699,-67.8223375155011,NA,NA,NA,NA,5115644715,5032200000,NA,NA,0.0274488773738589,0.000428796755343446,NA,NA,"paired n1=5 n2=5"
"150",0.7,"paired",5,5,-1.55054639460591,-0.748978686179297,-0.974762762321404,0.801567708426612,0.575783632284505,3.17757986401905,0.400050677347149,170.360972957448,-65.962117401178,1.05778814570689,1.2275250924284,0.71518433254434,0.625920041503194,6274023327,6168200000,0.00277915288601784,0.00436512830507923,0.0227392223928835,0.000419299910760299,0.00181723758411948,0.00194832958806096,"paired n1=5 n2=5"
"151",0.8,"paired",5,5,-1.06013176810005,-0.659869863227276,-0.839716443157093,0.400261904872769,0.220415324942952,2.63028240708334,0.384756128056033,144.157705277352,-64.2847577641942,0.787790621671208,1.06106377798282,0.824658820929333,0.738424774849439,7368235114,7239600000,0.00252182810233011,0.00385752444726053,0.0191371138047228,0.000411240907286426,0.00141325922830881,0.00163340600487988,"paired n1=5 n2=5"
"152",0.9,"paired",5,5,-0.792372649921864,-0.567650981455544,-0.703950728740313,0.22472166846632,0.0884219211815515,2.13094194877304,0.36723873586154,121.207708571091,-61.8778731606229,0.700990385507216,0.985458402820498,0.866550419232767,0.778993841359353,8234309129,8086200000,0.00233504058683797,0.00345154421771597,0.0162042380853881,0.000409902133507677,0.00119586811298142,0.00145913999208577,"paired n1=5 n2=5"
"153",1,"paired",5,5,-0.601986402162968,-0.465284290467685,-0.559844071287735,0.136702111695283,0.0421423308752333,1.6531732639316,0.346559621139421,98.7561446013202,-58.3341591138778,0.65518947930624,0.91297648596464,0.890864710109386,0.80937824366096,8933959140,8767100000,0.00216409565078825,0.00308014331723602,0.0134642637729375,0.000407150545554729,0.00105307790511114,0.00132658174387815,"paired n1=5 n2=5"
"154",1.2,"paired",5,5,-0.326963233703332,-0.257724040642263,-0.287414423004989,0.0692391930610691,0.0395488106983433,0.927721007551031,0.300509667902993,61.9585376335422,-47.5379926053545,0.589444046950112,0.757873351476957,0.909045304906725,0.84833568479908,9762355426,9568500000,0.00189236908902188,0.00244672320848954,0.00888271212572424,0.000399000753328709,0.000929572772493403,0.0011595878107524,"paired n1=5 n2=5"
"155",1.4,"paired",5,5,-0.12423067964925,-0.0628216463500728,-0.0554816229970291,0.061409033299177,0.0687490566522207,0.499345824464508,0.253697176092624,34.0039756403307,-31.9180645165222,0.52757028955263,0.614294509068086,0.917414667219867,0.877331282445683,10091321058,9881900000,0.00166686367359303,0.00194187666219187,0.00535172800809185,0.000368444575322993,0.000875616776257316,0.00104358659670858,"paired n1=5 n2=5"
"156",1.6,"paired",5,5,0.0384805205680643,0.108611383741993,0.130174250487559,0.0701308631739282,0.0916937299194945,0.292471448302992,0.211972789573534,16.4227612118772,-15.6209687915625,0.477744733985424,0.509529420039904,0.918369596808948,0.891760791348881,10197635071,9977900000,0.00149605671719665,0.00158673067134041,0.00287461022665877,0.000316268628959128,0.000866792502439098,0.000983551075095883,"paired n1=5 n2=5"
"157",1.8,"paired",5,5,0.175328435806585,0.254934928206412,0.276964939480547,0.0796064923998275,0.101636503673962,0.2061668385337,0.178866495770441,8.89743686327009,-5.52261911446027,0.441237420766166,0.446822241310628,0.919478596652695,0.898380368343654,10220911296,9996100000,0.00137269311686152,0.00137621181076428,0.00134829129674052,0.000255887906659518,0.000860619503157611,0.000955660506202365,"paired n1=5 n2=5"
"158",2,"paired",5,5,0.29389333245106,0.380528243991922,0.398176098094695,0.0866349115408627,0.104282765643636,0.170392413335915,0.154975540224008,4.66059664429328,-4.80895136369608,0.418839462410799,0.416746935306351,0.920904463312432,0.903233226325843,10226983128,9999300000,0.00129589475699474,0.00127599427180534,0.000647756635524572,0.000198530212428919,0.000853490081259913,0.000934928252983721,"paired n1=5 n2=5"
"159",2.5,"paired",5,5,0.53664724034191,0.631389912029293,0.637582090772624,0.0947426716873828,0.100934850430714,0.139015649713619,0.123307404715191,-1.56604716277298,-12.6887132116398,0.390607872621679,0.389119221019229,0.92061,0.90375,10230101548,1e+10,0.00119833122430025,0.00118839108212955,0.000220220572865697,0.000104147890697103,0.000854910684808653,0.000932662519349845,"paired n1=5 n2=5"
"160",3,"paired",5,5,0.729307511349758,0.828022690392025,0.828546273748702,0.0987151790422667,0.0992387623989437,0.126869809294361,0.110441887281333,-5.34837128146007,-17.6044752642959,0.378806999203448,0.379322670053287,0.91842,0.9008,10230177986,1e+10,0.00115650937560449,0.00115775082138104,6.6204623593433e-05,7.14392175650099e-05,0.000865590570651044,0.00094530079868791,"paired n1=5 n2=5"
"161",4,"paired",5,5,1.02706186684777,1.12698588681334,1.1227381566617,0.0999240199655673,0.0956762898139245,0.116807243321122,0.100850048473222,-6.39834752249809,-19.1853953476297,0.364352888707762,0.365984377715213,0.91865,0.89929,10230168744,1e+10,0.00110801374286633,0.00111710277153732,5.21125781865277e-05,5.89137824576499e-05,0.00086447774696634,0.000951669563976909,"paired n1=5 n2=5"
"162",5,"paired",5,5,1.25479963118919,1.35677323105057,1.35069725252452,0.101973599861387,0.0958976213353315,0.112523186338342,0.0970101998621182,-8.79088870095437,-21.3654145043388,0.362195760987286,0.364092682983973,0.91524,0.89549,10230308971,1e+10,0.00109903758849318,0.00111071311196146,4.92030971721232e-05,5.71034314020625e-05,0.00088077092595067,0.000967407152650837,"paired n1=5 n2=5"
"163",0.2,"paired",10,10,NA,-1.58358070189266,-2.09213130596853,NA,NA,6.12476287127545,0.404288847915885,318.900175558141,-72.3488610208194,NA,NA,NA,NA,1453103581,1429300000,NA,NA,0.0622708463006344,0.000463386962582533,NA,NA,"paired n1=10 n2=10"
