"theta","n","true_lnM","bias_PI","rmse_PI","bias_SAFE_raw","rmse_SAFE_raw","bias_SAFE_BC","rmse_SAFE_BC","bias_Qmid_05","rmse_Qmid_05","bias_Qmid_10","rmse_Qmid_10","bias_Qmid_20","rmse_Qmid_20","bias_Qmid_30","rmse_Qmid_30","SAFE_ok_rate","accept_prop","facet_label"
0.25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.404379919787199,"n=5"
0.35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426134941168875,"n=5"
0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426008772798658,"n=5"
0.7,5,-1.55054639460591,0.980389193668227,1.21799350289867,1.1658079171797,1.21776732571818,0.577095429437989,1.31379820680632,1.03343843019779,1.09905519569859,1.11876622301041,1.17564507403502,1.19079015454968,1.24099794675505,1.2234726187499,1.27084388559773,1,0.453112486307507,"n=5"
1,5,-0.601986402162968,0.20720019670121,0.745980498107612,0.372565343002564,0.550329857660692,-0.109436578285766,1.12741904644061,0.248018841160643,0.503296954913627,0.329173660603138,0.532802569868554,0.396528477964683,0.563915277508288,0.427163926350708,0.579960772280048,1,0.512340357946591,"n=5"
1.5,5,-0.0389807707348558,0.0548395322286619,0.620457432986047,0.126075620534415,0.487450620249978,-0.0934709692813192,0.856428917772766,0.0295254779445184,0.52116848964511,0.0938440669335722,0.498694204985971,0.146500558747797,0.485811640130255,0.169352584493484,0.481331277098811,1,0.575085953784367,"n=5"
2,5,0.29389333245106,-0.0106033494600838,0.51836310025377,0.0506857426540982,0.43791345839387,-0.0867053769053189,0.663516939760911,-0.0183808941739254,0.490332602981641,0.0297573795470004,0.455023307690325,0.0669125470420176,0.430228216011906,0.0827411296916926,0.420143235907165,1,0.617188324525027,"n=5"
3,5,0.729307511349758,0.0462340943135968,0.366395351409174,0.094345710515064,0.385478728119656,-0.00187752188787038,0.354818256799683,0.0841225289243788,0.418346660273731,0.0937363074686237,0.395599512636284,0.0985636377563353,0.378450665624997,0.100295739812837,0.371141154465723,1,0.625,"n=5"
4,5,1.02706186684777,0.0539959214445236,0.36611418780879,0.113699771182983,0.390853703114636,-0.00570792829393563,0.350972986632528,0.127496796007233,0.414620772245466,0.119943480519949,0.398974412047219,0.112228737674873,0.386015183456848,0.108713658131037,0.380332291871073,1,0.625,"n=5"
5,5,1.25479963118919,0.0738850070818613,0.304816654938583,0.141696704098361,0.334218100312282,0.00607331006536138,0.289543365889964,0.166918536349675,0.353640668712898,0.151392473326967,0.340978541206767,0.137540811747878,0.330596173585262,0.130999860450149,0.326238337791388,1,0.625,"n=5"
0.25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.396256721256974,"n=10"
0.35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.421944667020256,"n=10"
0.5,10,-1.84443972705697,0.987968664173945,1.17111491834508,1.04989621517772,1.10109143881911,0.708564691549425,1.25198124569355,0.890984053509582,0.955346906774596,0.992247846658414,1.0483812267803,1.07942813285855,1.12907939965437,1.1184239930206,1.16530978794225,1,0.452701314010834,"n=10"
0.7,10,-0.965510768280782,0.195759423342165,0.66269885992796,0.253996917976174,0.441567611484585,-0.0447879369744082,1.01283092856676,0.0975929814021286,0.392029763558289,0.198111250854191,0.419651709598672,0.283695899661486,0.457965128824273,0.321605428430929,0.478458672734747,1,0.482621173507862,"n=10"
1,10,-0.458145365937078,-0.0386802170446864,0.604845568493687,0.0223846307401833,0.385069774765425,-0.167562928510753,0.929710902501619,-0.116564442168711,0.438124587329055,-0.0255559194572272,0.40128290374966,0.0501937683823391,0.382720519310135,0.0832690554590468,0.378888423582431,1,0.570934305444144,"n=10"
1.5,10,0.0123463062951856,-0.0446387681977458,0.482799847924073,-0.0436491008427948,0.422045984465234,-0.0660468362958879,0.598911310541575,-0.133502038683,0.494164603405397,-0.0731293172935252,0.44669964025732,-0.0241195628263502,0.410532134024869,-0.00308202821671019,0.396229655823736,1,0.615349966448043,"n=10"
2,10,0.320926943086197,-0.00169639461163384,0.331260356550197,-0.00218481420639771,0.332019972683096,-0.00120797501686998,0.336131935229179,-0.0458154275387287,0.374588045098241,-0.015016302331241,0.344363682376914,0.00860975033791284,0.323191592270024,0.0186381441634188,0.314356348798522,1,0.624205698248978,"n=10"
3,10,0.740802270462108,0.0312595675425847,0.218680460067151,0.0489623855025687,0.228789400935902,0.0135567495826009,0.209950260778014,0.0459719289189457,0.23910868717871,0.0484685540445743,0.232045686687612,0.0500661956202167,0.226413941044757,0.0505877413438574,0.224097062788211,1,0.625,"n=10"
4,10,1.03343137973649,0.0026144645324,0.197283873021692,0.0264192516291821,0.202313045721764,-0.0211903225643821,0.195212966065682,0.0325625135132019,0.208059970462472,0.0287760491745599,0.204403064175931,0.0255248998224222,0.201230955624878,0.0238724620799151,0.19987354737238,1,0.625,"n=10"
5,10,1.2588482363055,0.0299556149791649,0.192116077358536,0.0563450633375016,0.19967770769136,0.0035661666208282,0.188096257958491,0.0669314487529826,0.204988209379947,0.0602386489426245,0.201634152487691,0.0545676471992511,0.19880223442004,0.0520105969484304,0.197600772546309,1,0.625,"n=10"
0.25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.417040613083065,"n=20"
0.35,20,-2.24369357516585,1.00570917156656,1.20704962744699,1.04511321074395,1.09728926812815,0.718956271817506,1.31096276986346,0.876506803750356,0.942219023906269,0.983745371806812,1.0408822948932,1.0763089135761,1.12692037310828,1.11770260069144,1.16555863686738,1,0.432207030625326,"n=20"
0.5,20,-1.29513358272291,0.219038109678941,0.635472276294555,0.241225314690911,0.43418774665872,0.0298848924426849,0.942151156930676,0.075099251393419,0.386999016566101,0.181747879462634,0.411928970753707,0.272224956935482,0.4508191720404,0.312750080824857,0.472798063162637,1,0.492707558602021,"n=20"
0.7,20,-0.817377860209195,-0.00650508292741658,0.58249740382937,0.025338387486332,0.393116381267625,-0.104678039385235,0.866292964325787,-0.122859883631967,0.44866130501903,-0.0264868252113917,0.409423008010332,0.054447199451013,0.391171819066702,0.0901344454712988,0.387918111603088,1,0.574342456858984,"n=20"
1,20,-0.399253848108886,-0.0563533283743506,0.447289094018428,-0.0710213417510038,0.371045730418682,-0.0565734585446128,0.57828080018756,-0.181884568282482,0.45145878505499,-0.107486982044355,0.397394634719197,-0.0474448689092246,0.35951646328383,-0.0211808792325557,0.344762530611417,1,0.616742397493559,"n=20"
1.5,20,0.0361603307898131,-0.0132267446489971,0.272611204631106,-0.0296299174380873,0.284515544007739,0.00317642814009312,0.262652312483763,-0.0752229712341152,0.326076422096976,-0.0439683589550748,0.296839898774384,-0.018988749103557,0.275822527310237,-0.0083733230823296,0.267430127495647,1,0.625,"n=20"
2,20,0.333914686287828,0.0131148290817288,0.208841572783142,0.0112442242761566,0.216840034206519,0.0149854338873011,0.200979127891689,-0.00518401320037254,0.229965640618335,0.00577965517049828,0.220740168121769,0.0146887766418678,0.213937505365772,0.0188214278256343,0.21106970925321,1,0.625,"n=20"
3,20,0.746452048089074,0.016588840909453,0.171836060998013,0.0243750811302038,0.174758108065265,0.0088026006887022,0.169285577265212,0.0230413758120006,0.177836142495004,0.0239418878464109,0.175748616771124,0.0246546828221831,0.174169812800441,0.0249745254125536,0.173479891982995,1,0.625,"n=20"
4,20,1.03658596433312,0.0138781086898765,0.145262378152924,0.0245663069207569,0.14765033686614,0.0031899104589963,0.143671634863624,0.0278506877704952,0.149597427344126,0.0257332591407398,0.148333768778583,0.0240117420478407,0.147297486322004,0.0231370701197566,0.146802489903413,1,0.625,"n=20"
5,20,1.26086031145536,0.0058203711383007,0.122556389901347,0.0178498794559618,0.124206305489353,-0.00620913717936067,0.122115985058451,0.0226264833752583,0.125638916636192,0.0196581602311661,0.124688776346817,0.0169396821078216,0.123894437702762,0.0158095152703028,0.123602426160018,1,0.625,"n=20"
